property_id,suburb,property_type,bedrooms,bathrooms,parking_spaces,land_size_sqm,floor_area_sqm,distance_to_cbd_km,distance_to_station_km,distance_to_school_km,year_built,renovated,has_pool,days_on_market,sale_date,agent_description,sale_price
11,Mosman,Unit,2,1.0,1.0,,65.8,8.9,2.11,0.51,1916,0,0,73,2026-05-15,"Unit in Mosman with 2 bedrooms and 1 bathrooms. Features close to shops and cafes, easy walk to the station and updated kitchen.",569000.0
12,Parramatta,Townhouse,5,3.0,,315.5,297.5,23.2,2.23,1.12,1957,1,0,77,2026-01-23,"Townhouse in Parramatta with 5 bedrooms and 3 bathrooms. Features recently painted, close to shops and cafes and easy walk to the station.",1132000.0
13,Mosman,House,4,2.0,2.0,422.7,160.1,8.3,1.59,0.8,1921,0,0,37,2025-08-09,"House in Mosman with 4 bedrooms and 2 bathrooms. Features close to shops and cafes, high ceilings and built in wardrobes.",2399000.0
14,Mosman,Townhouse,5,2.0,2.0,173.0,225.8,5.9,1.37,1.75,1959,0,0,61,2026-05-09,"Townhouse in Mosman with 5 bedrooms and 2 bathrooms. Features great natural light, close to shops and cafes and open plan living.",1348000.0
15,Liverpool,House,3,1.0,1.0,362.9,157.2,31.8,0.77,0.67,2004,1,0,46,2025-10-12,"House in Liverpool with 3 bedrooms and 1 bathrooms. Features updated kitchen, leafy quiet street and easy walk to the station.",512000.0
16,Liverpool,House,3,1.0,2.0,364.4,278.6,33.1,1.3,1.47,2021,0,0,48,2025-07-18,"House in Liverpool with 3 bedrooms and 1 bathrooms. Features leafy quiet street, close to shops and cafes and great natural light.",684000.0
17,Liverpool,Townhouse,4,3.0,2.0,248.9,160.4,29.6,1.13,1.21,1991,1,0,86,2025-01-15,"Townhouse in Liverpool with 4 bedrooms and 3 bathrooms. Features open plan living, great natural light and updated kitchen.",432000.0
18,Mosman,Unit,2,2.0,0.0,,114.0,3.1,0.01,1.18,1991,0,0,101,2025-10-19,"Unit in Mosman with 2 bedrooms and 2 bathrooms. Features double garage, leafy quiet street and north facing living area.",1333000.0
19,Liverpool,House,5,3.0,1.0,362.6,173.1,29.9,0.25,1.99,1987,1,0,64,2026-05-07,"House in Liverpool with 5 bedrooms and 3 bathrooms. Features updated kitchen, open plan living and great natural light.",655000.0
20,Liverpool,Townhouse,2,2.0,1.0,303.8,169.2,35.4,0.92,0.97,1988,1,0,26,2025-05-24,"Townhouse in Liverpool with 2 bedrooms and 2 bathrooms. Features updated kitchen, recently painted and great natural light.",475000.0
21,Parramatta,House,2,1.0,1.0,282.3,147.6,26.4,0.12,0.4,1972,0,0,92,2026-04-03,"House in Parramatta with 2 bedrooms and 1 bathrooms. Features double garage, leafy quiet street and updated kitchen.",1024000.0
22,Parramatta,House,5,1.0,2.0,299.2,255.1,25.1,0.28,1.42,1989,0,0,97,2025-05-21,"House in Parramatta with 5 bedrooms and 1 bathrooms. Features great natural light, open plan living and built in wardrobes.",1086000.0
23,Mosman,House,5,2.0,1.0,735.5,202.1,8.2,0.31,0.74,1920,0,0,19,2026-07-02,"House in Mosman with 5 bedrooms and 2 bathrooms. Features great natural light, double garage and recently painted.",4086000.0
24,Parramatta,Unit,2,1.0,1.0,,104.8,14.9,0.31,1.37,2022,0,0,69,2026-08-07,"Unit in Parramatta with 2 bedrooms and 1 bathrooms. Features high ceilings, close to shops and cafes and open plan living.",749000.0
25,Parramatta,House,5,3.0,2.0,451.7,181.5,25.8,0.79,0.71,1996,1,0,70,2026-09-07,"House in Parramatta with 5 bedrooms and 3 bathrooms. Features leafy quiet street, close to shops and cafes and north facing living area.",1418000.0
26,Mosman,House,2,2.0,2.0,549.8,417.9,6.4,1.21,0.83,1937,0,0,15,2025-03-15,"House in Mosman with 2 bedrooms and 2 bathrooms. Features high ceilings, low maintenance garden and north facing living area.",3814000.0
27,Mosman,House,4,3.0,2.0,691.0,408.0,6.8,0.67,1.7,1912,0,1,87,2024-10-11,"House in Mosman with 4 bedrooms and 3 bathrooms. Features high ceilings, open plan living and double garage.",4441000.0
28,Liverpool,Townhouse,5,2.0,1.0,392.0,162.4,34.9,1.47,1.01,2016,0,0,119,2025-01-26,"Townhouse in Liverpool with 5 bedrooms and 2 bathrooms. Features north facing living area, recently painted and leafy quiet street.",485000.0
29,Parramatta,Unit,2,2.0,1.0,,71.0,24.0,1.63,1.81,1994,1,0,67,2026-08-27,"Unit in Parramatta with 2 bedrooms and 2 bathrooms. Features double garage, leafy quiet street and low maintenance garden.",544000.0
30,Liverpool,Townhouse,3,1.0,1.0,322.3,146.4,31.1,0.51,1.09,2020,0,0,64,2024-10-11,"Townhouse in Liverpool with 3 bedrooms and 1 bathrooms. Features north facing living area, double garage and built in wardrobes.",450000.0
31,Mosman,House,4,3.0,2.0,866.5,218.4,11.8,1.35,0.68,1923,0,0,10,2026-07-05,"House in Mosman with 4 bedrooms and 3 bathrooms. Features easy walk to the station, north facing living area and double garage.",4441000.0
32,Parramatta,Unit,1,1.0,0.0,,61.8,27.7,1.0,1.35,1985,0,0,46,2025-11-17,"Unit in Parramatta with 1 bedrooms and 1 bathrooms. Features built in wardrobes, north facing living area and great natural light.",359000.0
33,Mosman,House,2,2.0,2.0,464.1,406.2,7.2,0.86,0.47,1932,0,0,103,2025-09-26,"House in Mosman with 2 bedrooms and 2 bathrooms. Features great natural light, double garage and close to shops and cafes. Deceased estate, sold as is, needs full renovation.",1942000.0
34,Liverpool,House,2,1.0,1.0,479.1,206.8,26.8,0.2,1.84,2015,0,0,106,2025-02-09,"House in Liverpool with 2 bedrooms and 1 bathrooms. Features open plan living, high ceilings and north facing living area.",698000.0
35,Parramatta,Townhouse,4,2.0,2.0,286.2,163.3,21.7,1.5,1.48,1994,0,0,78,2026-01-24,"Townhouse in Parramatta with 4 bedrooms and 2 bathrooms. Features built in wardrobes, open plan living and low maintenance garden.",873000.0
36,Liverpool,Unit,2,2.0,0.0,,54.7,31.6,0.46,1.9,2015,0,0,44,2025-11-30,"Unit in Liverpool with 2 bedrooms and 2 bathrooms. Features north facing living area, great natural light and built in wardrobes.",296000.0
37,Mosman,Townhouse,3,2.0,,443.6,165.5,3.0,0.01,0.21,1913,1,1,116,2024-11-04,"Townhouse in Mosman with 3 bedrooms and 2 bathrooms. Features updated kitchen, low maintenance garden and built in wardrobes.",2286000.0
38,Parramatta,House,3,1.0,1.0,399.9,206.3,24.0,0.75,0.37,1961,1,0,5,2025-10-06,"House in Parramatta with 3 bedrooms and 1 bathrooms. Features double garage, close to shops and cafes and low maintenance garden.",1334000.0
39,Liverpool,Townhouse,4,3.0,2.0,229.1,275.5,33.2,0.43,1.42,1995,1,0,34,2026-08-18,"Townhouse in Liverpool with 4 bedrooms and 3 bathrooms. Features high ceilings, open plan living and updated kitchen.",606000.0
40,Mosman,House,2,1.0,1.0,495.1,309.5,6.4,0.25,0.87,1972,1,0,21,2026-05-25,"House in Mosman with 2 bedrooms and 1 bathrooms. Features high ceilings, double garage and leafy quiet street.",3469000.0
41,Mosman,House,5,2.0,,574.0,182.2,9.0,0.81,1.31,1961,0,0,85,2024-10-21,"House in Mosman with 5 bedrooms and 2 bathrooms. Features close to shops and cafes, north facing living area and updated kitchen.",3473000.0
42,Mosman,Unit,2,2.0,0.0,,124.8,9.0,2.03,0.14,1974,0,0,65,2025-02-16,"Unit in Mosman with 2 bedrooms and 2 bathrooms. Features updated kitchen, recently painted and great natural light.",1375000.0
43,Parramatta,Townhouse,2,1.0,1.0,166.9,303.4,21.1,0.84,1.66,2010,1,0,114,2024-11-13,"Townhouse in Parramatta with 2 bedrooms and 1 bathrooms. Features open plan living, easy walk to the station and double garage.",936000.0
44,Mosman,Unit,1,1.0,1.0,,88.2,4.0,0.02,0.14,1911,0,0,64,2024-11-11,"Unit in Mosman with 1 bedrooms and 1 bathrooms. Features low maintenance garden, easy walk to the station and great natural light.",752000.0
45,Liverpool,House,3,2.0,1.0,600.2,,34.0,2.2,1.38,1988,0,0,46,2025-11-03,"House in Liverpool with 3 bedrooms and 2 bathrooms. Features leafy quiet street, recently painted and updated kitchen.",933000.0
46,Liverpool,House,2,1.0,2.0,696.3,296.1,31.6,1.39,1.17,1987,0,1,50,2025-10-16,"House in Liverpool with 2 bedrooms and 1 bathrooms. Features updated kitchen, north facing living area and easy walk to the station.",925000.0
47,Mosman,House,4,2.0,1.0,454.5,229.3,4.8,0.11,0.55,1943,1,0,55,2026-06-12,"House in Mosman with 4 bedrooms and 2 bathrooms. Features double garage, built in wardrobes and high ceilings.",3201000.0
48,Liverpool,Unit,1,1.0,1.0,,97.2,30.7,1.27,1.54,2004,0,0,110,2025-02-01,"Unit in Liverpool with 1 bedrooms and 1 bathrooms. Features updated kitchen, high ceilings and recently painted.",529000.0
49,Parramatta,House,4,2.0,2.0,482.9,218.1,21.8,0.98,0.76,1968,1,0,50,2025-08-17,"House in Parramatta with 4 bedrooms and 2 bathrooms. Features leafy quiet street, recently painted and low maintenance garden.",1650000.0
50,Mosman,House,5,2.0,1.0,392.2,394.9,8.6,2.0,0.88,1990,1,0,50,2025-06-08,"House in Mosman with 5 bedrooms and 2 bathrooms. Features built in wardrobes, close to shops and cafes and north facing living area.",3566000.0
51,Parramatta,House,2,2.0,2.0,653.6,167.0,24.0,0.27,0.89,2014,0,0,44,2024-12-01,"House in Parramatta with 2 bedrooms and 2 bathrooms. Features high ceilings, close to shops and cafes and easy walk to the station.",1767000.0
52,Mosman,Unit,2,2.0,1.0,,102.0,7.2,1.64,0.41,1965,1,0,80,2024-10-10,"Unit in Mosman with 2 bedrooms and 2 bathrooms. Features double garage, recently painted and low maintenance garden.",1541000.0
53,Mosman,Unit,2,1.0,1.0,,115.3,14.3,2.21,0.59,1923,0,0,77,2025-02-17,"Unit in Mosman with 2 bedrooms and 1 bathrooms. Features open plan living, great natural light and low maintenance garden.",804000.0
54,Parramatta,Unit,1,1.0,1.0,,92.8,23.2,1.63,0.69,1962,1,0,102,2025-12-15,"Unit in Parramatta with 1 bedrooms and 1 bathrooms. Features leafy quiet street, low maintenance garden and updated kitchen.",638000.0
55,Mosman,Unit,1,1.0,1.0,,57.7,4.0,0.55,0.43,1949,0,0,59,2025-10-01,"Unit in Mosman with 1 bedrooms and 1 bathrooms. Features recently painted, updated kitchen and north facing living area.",540000.0
56,Liverpool,Townhouse,5,3.0,2.0,257.5,229.1,32.7,1.85,0.96,1989,1,0,107,2026-04-08,"Townhouse in Liverpool with 5 bedrooms and 3 bathrooms. Features north facing living area, updated kitchen and recently painted.",574000.0
57,Mosman,House,4,3.0,1.0,762.8,343.6,5.7,0.64,1.88,1942,0,0,18,2025-03-24,"House in Mosman with 4 bedrooms and 3 bathrooms. Features north facing living area, updated kitchen and open plan living.",4385000.0
58,Parramatta,Townhouse,4,3.0,2.0,352.1,142.8,18.0,0.09,0.92,2014,0,0,59,2025-01-30,"Townhouse in Parramatta with 4 bedrooms and 3 bathrooms. Features leafy quiet street, great natural light and easy walk to the station.",1151000.0
59,Parramatta,House,5,2.0,1.0,519.9,214.6,21.4,1.67,0.85,1978,0,0,65,2026-01-05,"House in Parramatta with 5 bedrooms and 2 bathrooms. Features double garage, updated kitchen and recently painted.",1781000.0
60,Parramatta,House,5,2.0,2.0,436.1,210.0,24.2,0.15,0.65,1979,0,1,18,2024-12-10,"House in Parramatta with 5 bedrooms and 2 bathrooms. Features great natural light, built in wardrobes and updated kitchen.",1496000.0
61,Liverpool,House,4,2.0,1.0,392.2,163.5,32.5,0.71,2.16,1993,0,0,5,2026-03-01,"House in Liverpool with 4 bedrooms and 2 bathrooms. Features low maintenance garden, recently painted and easy walk to the station.",531000.0
62,Mosman,Unit,2,2.0,1.0,,126.3,8.0,1.83,1.61,1944,0,0,94,2026-02-27,"Unit in Mosman with 2 bedrooms and 2 bathrooms. Features high ceilings, great natural light and low maintenance garden.",1202000.0
63,Mosman,House,2,2.0,1.0,592.8,386.3,10.5,1.01,1.31,1928,1,0,25,2025-08-17,"House in Mosman with 2 bedrooms and 2 bathrooms. Features double garage, open plan living and north facing living area.",3808000.0
64,Liverpool,Townhouse,3,3.0,1.0,404.3,294.2,32.0,0.59,1.25,2017,1,0,69,2024-12-30,"Townhouse in Liverpool with 3 bedrooms and 3 bathrooms. Features updated kitchen, built in wardrobes and great natural light.",694000.0
65,Liverpool,Townhouse,5,2.0,2.0,243.7,294.3,28.7,1.5,0.87,2000,0,1,82,2024-12-18,"Townhouse in Liverpool with 5 bedrooms and 2 bathrooms. Features great natural light, updated kitchen and easy walk to the station.",709000.0
66,Mosman,House,4,1.0,2.0,547.9,319.4,4.4,0.95,0.78,1939,0,0,15,2025-05-26,"House in Mosman with 4 bedrooms and 1 bathrooms. Features easy walk to the station, high ceilings and open plan living.",4044000.0
67,Mosman,House,4,1.0,2.0,429.4,183.1,11.8,1.03,0.37,1941,0,1,81,2024-11-30,"House in Mosman with 4 bedrooms and 1 bathrooms. Features updated kitchen, north facing living area and low maintenance garden.",3095000.0
68,Liverpool,House,3,2.0,2.0,478.2,175.1,32.8,0.9,2.13,2013,1,0,79,2025-03-13,"House in Liverpool with 3 bedrooms and 2 bathrooms. Features updated kitchen, recently painted and high ceilings.",742000.0
69,Mosman,House,4,1.0,2.0,703.1,187.7,8.6,0.98,1.23,1969,1,0,85,2025-02-02,"House in Mosman with 4 bedrooms and 1 bathrooms. Features open plan living, low maintenance garden and high ceilings.",4432000.0
70,Mosman,Unit,2,2.0,0.0,,120.1,6.7,0.29,1.04,1941,0,0,66,2025-08-21,"Unit in Mosman with 2 bedrooms and 2 bathrooms. Features north facing living area, built in wardrobes and recently painted.",959000.0
71,Mosman,Unit,2,2.0,1.0,,67.4,10.0,1.14,1.5,1970,1,0,110,2024-09-20,"Unit in Mosman with 2 bedrooms and 2 bathrooms. Features high ceilings, easy walk to the station and north facing living area.",921000.0
72,Liverpool,Townhouse,4,1.0,1.0,286.7,172.1,30.3,0.86,1.78,2009,0,0,51,2025-11-22,"Townhouse in Liverpool with 4 bedrooms and 1 bathrooms. Features close to shops and cafes, north facing living area and leafy quiet street.",416000.0
73,Mosman,House,3,3.0,1.0,590.6,191.1,5.0,1.24,0.82,1925,1,1,61,2025-10-22,"House in Mosman with 3 bedrooms and 3 bathrooms. Features north facing living area, leafy quiet street and updated kitchen. Deceased estate, sold as is, needs full renovation.",2173000.0
74,Parramatta,House,4,1.0,2.0,359.9,302.5,25.7,0.97,0.64,2011,1,0,103,2026-01-25,"House in Parramatta with 4 bedrooms and 1 bathrooms. Features recently painted, built in wardrobes and low maintenance garden.",1601000.0
75,Liverpool,House,3,2.0,1.0,534.1,242.9,28.8,1.05,0.67,1985,1,0,55,2025-06-14,"House in Liverpool with 3 bedrooms and 2 bathrooms. Features high ceilings, great natural light and double garage.",774000.0
76,Liverpool,House,2,2.0,2.0,639.7,276.3,37.1,1.15,0.97,2007,1,1,28,2025-10-07,"House in Liverpool with 2 bedrooms and 2 bathrooms. Features leafy quiet street, open plan living and easy walk to the station.",954000.0
77,Parramatta,House,5,,2.0,570.2,150.1,25.9,0.1,0.43,1999,1,0,41,2026-06-04,"House in Parramatta with 5 bedrooms and 2 bathrooms. Features updated kitchen, built in wardrobes and open plan living.",1913000.0
78,Parramatta,Unit,2,2.0,0.0,,81.5,26.1,1.14,2.53,1971,1,0,72,2025-02-17,"Unit in Parramatta with 2 bedrooms and 2 bathrooms. Features easy walk to the station, built in wardrobes and leafy quiet street.",592000.0
79,Liverpool,Townhouse,3,3.0,,202.5,273.2,33.2,0.98,0.86,1987,1,0,22,2025-11-07,"Townhouse in Liverpool with 3 bedrooms and 3 bathrooms. Features north facing living area, double garage and easy walk to the station.",565000.0
80,Parramatta,Unit,1,1.0,1.0,,,22.9,0.92,1.26,1967,0,0,92,2025-11-24,"Unit in Parramatta with 1 bedrooms and 1 bathrooms. Features high ceilings, easy walk to the station and great natural light.",524000.0
81,Liverpool,Unit,2,1.0,1.0,,62.5,36.9,1.25,1.68,1985,0,0,119,2026-05-06,"Unit in Liverpool with 2 bedrooms and 1 bathrooms. Features leafy quiet street, open plan living and north facing living area.",299000.0
82,Parramatta,Townhouse,2,2.0,2.0,321.1,266.2,24.1,0.92,1.03,1967,0,0,29,2024-10-19,"Townhouse in Parramatta with 2 bedrooms and 2 bathrooms. Features double garage, leafy quiet street and updated kitchen.",1002000.0
83,Liverpool,Unit,2,2.0,1.0,,55.8,28.9,0.74,1.67,1988,0,0,55,2025-09-28,"Unit in Liverpool with 2 bedrooms and 2 bathrooms. Features great natural light, easy walk to the station and high ceilings.",280000.0
84,Parramatta,House,5,2.0,1.0,425.5,319.7,23.8,0.76,0.43,1952,0,0,43,2024-10-22,"House in Parramatta with 5 bedrooms and 2 bathrooms. Features updated kitchen, double garage and open plan living.",1454000.0
85,Liverpool,House,3,,1.0,675.5,,31.9,0.87,1.03,2004,0,0,88,2026-06-28,"House in Liverpool with 3 bedrooms and 1 bathrooms. Features easy walk to the station, open plan living and built in wardrobes.",1119000.0
86,Parramatta,Unit,1,1.0,0.0,,100.3,23.8,0.69,0.65,1988,0,0,93,2025-07-14,"Unit in Parramatta with 1 bedrooms and 1 bathrooms. Features easy walk to the station, leafy quiet street and high ceilings.",563000.0
87,Parramatta,House,5,1.0,2.0,529.8,174.6,24.6,0.93,0.98,2022,0,1,56,2025-07-05,"House in Parramatta with 5 bedrooms and 1 bathrooms. Features updated kitchen, leafy quiet street and close to shops and cafes.",1687000.0
88,Parramatta,House,5,2.0,2.0,661.9,219.4,20.8,0.31,1.2,1959,0,0,16,2025-12-20,"House in Parramatta with 5 bedrooms and 2 bathrooms. Features leafy quiet street, built in wardrobes and open plan living.",2061000.0
89,Liverpool,Unit,2,2.0,1.0,,98.4,34.4,1.02,1.27,2008,0,0,19,2025-03-04,"Unit in Liverpool with 2 bedrooms and 2 bathrooms. Features double garage, leafy quiet street and recently painted.",605000.0
90,Parramatta,House,3,3.0,1.0,306.7,148.7,27.4,1.08,1.91,1998,0,0,88,2026-07-31,"House in Parramatta with 3 bedrooms and 3 bathrooms. Features easy walk to the station, low maintenance garden and updated kitchen.",975000.0
91,Parramatta,House,2,2.0,1.0,312.4,176.7,21.4,0.94,0.94,1961,0,0,94,2024-11-14,"House in Parramatta with 2 bedrooms and 2 bathrooms. Features high ceilings, low maintenance garden and north facing living area.",1090000.0
92,Mosman,House,2,2.0,1.0,887.6,273.8,10.3,0.48,0.78,1914,0,0,34,2025-06-05,"House in Mosman with 2 bedrooms and 2 bathrooms. Features easy walk to the station, double garage and low maintenance garden.",5240000.0
93,Liverpool,Townhouse,4,3.0,1.0,310.4,228.3,27.7,1.33,1.43,2002,1,1,118,2026-06-25,"Townhouse in Liverpool with 4 bedrooms and 3 bathrooms. Features north facing living area, great natural light and recently painted. Rare unobstructed water views and a full architect designed renovation.",1055000.0
94,Parramatta,House,5,1.0,2.0,554.9,265.2,21.9,0.14,1.31,1961,0,0,31,2026-03-01,"House in Parramatta with 5 bedrooms and 1 bathrooms. Features built in wardrobes, recently painted and great natural light.",2025000.0
95,Parramatta,Unit,1,1.0,1.0,,55.6,24.1,1.1,1.11,1986,1,0,58,2026-08-09,"Unit in Parramatta with 1 bedrooms and 1 bathrooms. Features open plan living, close to shops and cafes and recently painted. Rare unobstructed water views and a full architect designed renovation.",743000.0
96,Liverpool,Unit,1,1.0,0.0,,73.0,30.8,0.24,1.24,2012,1,0,112,2026-02-22,"Unit in Liverpool with 1 bedrooms and 1 bathrooms. Features double garage, high ceilings and updated kitchen.",409000.0
97,Mosman,Unit,1,1.0,1.0,,126.9,6.2,0.15,0.68,1949,1,0,47,2025-10-19,"Unit in Mosman with 1 bedrooms and 1 bathrooms. Features great natural light, leafy quiet street and close to shops and cafes.",1722000.0
98,Mosman,Townhouse,5,3.0,1.0,459.9,157.8,6.3,1.0,1.56,1983,1,0,101,2025-10-17,"Townhouse in Mosman with 5 bedrooms and 3 bathrooms. Features high ceilings, updated kitchen and recently painted.",2148000.0
99,Liverpool,House,5,,1.0,411.6,,33.9,0.89,0.23,2022,1,0,54,2025-12-21,"House in Liverpool with 5 bedrooms and 1 bathrooms. Features built in wardrobes, open plan living and high ceilings.",701000.0
100,Mosman,Unit,2,2.0,0.0,,111.9,5.6,1.51,1.07,1952,0,0,31,2026-07-25,"Unit in Mosman with 2 bedrooms and 2 bathrooms. Features high ceilings, leafy quiet street and built in wardrobes.",1009000.0
101,Parramatta,Townhouse,4,1.0,1.0,150.1,142.3,21.7,0.76,1.77,1952,1,1,94,2026-07-30,"Townhouse in Parramatta with 4 bedrooms and 1 bathrooms. Features double garage, great natural light and low maintenance garden.",573000.0
102,Mosman,Unit,2,2.0,1.0,,89.7,7.4,1.01,1.98,1968,1,0,94,2025-04-30,"Unit in Mosman with 2 bedrooms and 2 bathrooms. Features north facing living area, close to shops and cafes and easy walk to the station.",1104000.0
103,Mosman,House,3,2.0,1.0,509.7,276.8,13.4,0.62,0.79,1914,1,0,58,2026-06-10,"House in Mosman with 3 bedrooms and 2 bathrooms. Features close to shops and cafes, double garage and easy walk to the station.",3645000.0
104,Mosman,Unit,2,1.0,1.0,,107.1,6.3,1.59,0.39,1962,0,0,66,2024-10-17,"Unit in Mosman with 2 bedrooms and 1 bathrooms. Features easy walk to the station, updated kitchen and built in wardrobes.",1053000.0
105,Liverpool,Townhouse,5,1.0,1.0,303.1,240.2,31.5,1.39,1.25,2006,1,1,10,2025-09-07,"Townhouse in Liverpool with 5 bedrooms and 1 bathrooms. Features low maintenance garden, great natural light and high ceilings. Rare unobstructed water views and a full architect designed renovation.",1159000.0
106,Liverpool,Townhouse,4,2.0,2.0,374.1,,32.7,0.72,1.44,2010,0,0,9,2026-09-09,"Townhouse in Liverpool with 4 bedrooms and 2 bathrooms. Features low maintenance garden, built in wardrobes and updated kitchen.",538000.0
107,Liverpool,House,4,3.0,1.0,411.3,283.1,31.0,1.34,1.09,1990,1,0,65,2025-02-21,"House in Liverpool with 4 bedrooms and 3 bathrooms. Features high ceilings, built in wardrobes and updated kitchen.",879000.0
108,Liverpool,House,4,1.0,2.0,437.2,157.7,33.0,0.68,0.99,2013,1,0,97,2026-05-23,"House in Liverpool with 4 bedrooms and 1 bathrooms. Features built in wardrobes, leafy quiet street and north facing living area.",625000.0
109,Parramatta,Unit,2,2.0,0.0,,53.2,22.2,0.61,1.48,1980,0,0,42,2025-05-13,"Unit in Parramatta with 2 bedrooms and 2 bathrooms. Features low maintenance garden, updated kitchen and great natural light.",346000.0
110,Liverpool,House,3,3.0,1.0,578.7,,37.5,0.61,0.88,2006,0,0,38,2025-11-11,"House in Liverpool with 3 bedrooms and 3 bathrooms. Features low maintenance garden, north facing living area and updated kitchen.",891000.0
111,Liverpool,House,3,3.0,2.0,531.2,282.9,35.1,1.94,0.94,2016,0,0,70,2024-12-10,"House in Liverpool with 3 bedrooms and 3 bathrooms. Features updated kitchen, close to shops and cafes and high ceilings.",959000.0
112,Liverpool,House,5,2.0,2.0,586.1,261.6,33.9,1.65,0.37,2008,0,0,102,2026-06-16,"House in Liverpool with 5 bedrooms and 2 bathrooms. Features recently painted, updated kitchen and great natural light.",989000.0
113,Mosman,House,4,2.0,2.0,312.2,399.7,8.7,0.12,1.81,1949,1,0,101,2025-01-05,"House in Mosman with 4 bedrooms and 2 bathrooms. Features high ceilings, low maintenance garden and north facing living area.",2472000.0
114,Parramatta,Unit,2,1.0,0.0,,70.7,22.7,0.46,1.29,2008,0,0,58,2026-05-26,"Unit in Parramatta with 2 bedrooms and 1 bathrooms. Features recently painted, built in wardrobes and close to shops and cafes.",500000.0
115,Parramatta,Unit,2,2.0,1.0,,109.6,21.5,0.82,1.08,2010,0,0,29,2024-12-10,"Unit in Parramatta with 2 bedrooms and 2 bathrooms. Features leafy quiet street, open plan living and double garage.",798000.0
116,Liverpool,House,5,1.0,2.0,705.6,216.1,33.7,2.53,2.01,2007,1,0,97,2025-01-20,"House in Liverpool with 5 bedrooms and 1 bathrooms. Features great natural light, built in wardrobes and low maintenance garden.",1047000.0
117,Mosman,Townhouse,2,1.0,1.0,232.3,185.6,8.0,0.79,1.3,1939,0,0,116,2026-06-16,"Townhouse in Mosman with 2 bedrooms and 1 bathrooms. Features north facing living area, double garage and recently painted.",1338000.0
118,Liverpool,Unit,1,1.0,1.0,,70.4,29.1,1.58,2.01,2020,0,0,45,2025-08-04,"Unit in Liverpool with 1 bedrooms and 1 bathrooms. Features recently painted, close to shops and cafes and built in wardrobes.",392000.0
119,Parramatta,Unit,2,1.0,1.0,,87.4,22.8,1.45,2.0,1999,0,0,108,2025-02-20,"Unit in Parramatta with 2 bedrooms and 1 bathrooms. Features built in wardrobes, recently painted and double garage. Deceased estate, sold as is, needs full renovation.",337000.0
120,Liverpool,House,2,2.0,1.0,335.1,165.2,30.7,0.43,1.99,1988,1,0,37,2024-09-30,"House in Liverpool with 2 bedrooms and 2 bathrooms. Features low maintenance garden, leafy quiet street and north facing living area.",493000.0
